Category,Response,Sensorimotor.version,Item.number,Participant,Trial.no.,Rank,Production.frequency,Mean.rank,First.rank.frequency,LgSUBTLWF,Sensorimotor.proximity,Linguistic.proximity
part of a boat,anchor,anchor,6787,22,4,4,3,6.333333333,NA,2.58,0.971055221,0
part of a boat,bow,bow,2728,28,30,2,4,2.25,1,3.01,0.943596586,0
part of a boat,cabin,cabin,1387,55,23,1,2,3,1,3,0.941947642,0
part of a boat,deck,deck,11646,80,14,6,7,2.857142857,3,3.084,0.904126587,0
part of a boat,engine,engine,9544,55,23,5,2,6,NA,3.21,0.947192929,1.728861984
part of a boat,hull,hull,326,25,16,1,5,2.6,2,2.33,0.950801137,0.579766761
part of a boat,keel,keel,4314,76,1,2,2,6.5,NA,1.79,0.916284489,0
part of a boat,mast,mast,3313,46,27,2,5,4.2,NA,1.92,0.928618376,4.132381489
part of a boat,oar,oar,1506,58,31,1,2,4.5,1,1.63,0.943065271,7.910064868
part of a boat,oars,oar,16337,61,25,13,2,9,NA,1.75,0.943065271,0
part of a boat,port,port,12845,80,14,7,2,4.5,NA,2.87,0.931487775,0.70031675
part of a boat,propeller,propeller,1786,67,12,1,4,5.25,1,1.9,0.959588855,6.746570719
part of a boat,rigging,rigging,15082,70,1,10,2,6.5,NA,1.75,0.946584566,5.48810508
part of a boat,rudder,rudder,15200,80,14,10,4,5.5,1,2.3,0.983887021,4.006218573
part of a boat,sail,sail,197,22,4,1,8,3.25,1,2.85,0.978093666,0
part of a boat,sails,sail,6903,25,16,4,3,2.666666667,1,2.22,0.978093666,0
part of a boat,starboard,starboard,112,19,34,1,2,2,1,2.52,0.967270472,0
part of a boat,stern,stern,5656,52,7,3,6,2.5,2,2.52,0.788061737,0
part of a boat,wheel,wheel,11631,79,33,6,4,4,NA,3.14,0.975221077,0
part of a building,beams,beam,14084,36,14,9,2,9.5,NA,2.14,0.925165564,0
part of a building,brick,brick,278,24,7,1,2,4,1,2.72,0.870684647,0
part of a building,bricks,brick,1451,57,11,1,5,5.4,2,2.3,0.870684647,0
part of a building,carpet,carpet,15791,24,7,12,2,10.5,NA,2.77,0.855664414,0
part of a building,ceiling,ceiling,8440,78,24,4,8,4.875,NA,2.63,0.935793491,0.19188379
part of a building,corridor,corridor,9370,48,30,5,2,4,NA,2.45,0.960325611,0
part of a building,door,door,8576,18,29,5,10,4,3,4.17,0.977932786,0
part of a building,doors,door,12688,72,12,7,3,6.666666667,NA,3.24,0.977932786,0
part of a building,elevators,elevator,15693,78,24,11,2,8.5,NA,2.22,0.961877016,0
part of a building,entrance,entrance,12961,21,25,8,5,5,2,2.9,0.969827629,0
part of a building,exit,exit,4412,78,24,2,2,4.5,NA,2.9,0.903979572,0
part of a building,floor,floor,11360,69,10,6,7,5.142857143,1,3.71,0.858616271,0
part of a building,foundations,foundation,14139,39,27,9,2,7,NA,1.78,0.981894049,0
part of a building,insulation,insulation,7339,39,27,4,3,8,NA,1.72,0.960193512,0.038633516
part of a building,mortar,mortar,2552,24,7,2,2,6.5,NA,2.07,0.972843762,0
part of a building,plaster,plaster,13021,24,7,8,2,16.5,NA,2.13,0.962798754,0
part of a building,reception,reception,10898,45,25,6,2,6.5,NA,2.755,0.881262559,0
part of a building,roof,roof,4778,24,7,3,12,4.166666667,3,3.26,0.942668562,1.437400496
part of a building,rooms,rooms,14543,78,24,9,6,5.833333333,1,3.12,0.970283793,0
part of a building,stairs,stairs,14464,72,12,9,6,6.166666667,NA,3.08,0.876470481,0
part of a building,tiles,tile,15515,54,25,11,3,15.66666667,NA,1.93,0.914794475,0
part of a building,timber,timber,14266,54,25,9,2,17.5,NA,2.11,0.966513895,0
part of a building,wall,wall,10421,24,7,6,5,3,1,3.56,0.94229969,0.462239202
part of a building,walls,wall,8257,72,12,4,5,2.4,1,3.1,0.94229969,0
part of a building,window,window,7227,36,14,4,9,3.111111111,1,3.64,0.965483395,0
part of a building,windows,window,13676,72,12,8,4,6.5,NA,3.08,0.965483395,0
part of a tree,bark,bark,3782,59,33,2,13,3.923076923,NA,2.45,0.735109035,0
part of a tree,branch,branch,23,17,23,1,11,2.272727273,5,2.71,0.971024379,1.1223933
part of a tree,branches,branch,11043,53,10,6,6,3,1,2.23,0.971024379,0
part of a tree,flowers,flower,11290,65,16,6,2,5.5,NA,3.39,0.892380566,0
part of a tree,fruit,fruit,11680,17,23,7,4,6,NA,3.04,0.800409206,0
part of a tree,leaf,leaf,795,38,31,1,6,2.5,1,2.42,0.963368851,0
part of a tree,leaves,leaves,8130,68,23,4,13,3,1,3.36,0.982384162,0
part of a tree,root,root,6629,17,23,4,2,3.5,NA,2.73,0.95111445,0
part of a tree,roots,root,8649,20,36,5,15,3.533333333,2,2.51,0.95111445,0
part of a tree,sap,sap,7463,44,29,4,4,5,NA,2.25,0.903158836,0
part of a tree,stem,stem,10496,26,31,6,6,3.666666667,1,2.06,0.958031764,1.802296825
part of a tree,stump,stump,3896,62,33,2,2,5,NA,2.1,0.954622571,5.866876516
part of a tree,trunk,trunk,2300,17,23,2,16,1.9375,9,3,0.97598916,5.842082419
part of a tree,twig,twig,6305,71,34,3,2,4,NA,1.85,0.948037604,0
part of a tree,twigs,twig,4655,20,36,3,3,4.333333333,NA,1.61,0.948037604,0
part of the body,ankle,ankle,16611,65,7,14,3,11.66666667,NA,2.61,0.737393287,0
part of the body,ankles,ankle,13414,53,36,8,3,13,NA,2.34,0.737393287,0
part of the body,arm,arm,609,32,37,1,8,2.25,5,3.52,0.811973284,0
part of the body,arms,arms,5717,53,36,3,8,3.875,1,3.48,0.840610745,0
part of the body,back,back,15664,74,39,11,5,13.8,NA,5.01,0.822260771,0
part of the body,blood,blood,17518,29,13,22,2,13.5,NA,3.98,0.965945817,0
part of the body,bones,bone,6952,26,32,4,2,7,NA,3.19,0.96086477,0.492914378
part of the body,brain,brain,15367,32,37,11,4,10.75,1,3.59,0.804813176,7.092464912
part of the body,calf,calf,15584,65,7,11,2,11,NA,2.18,0.912822721,0
part of the body,calves,calves,7982,62,28,4,2,8,NA,1.92,0.813234419,0
part of the body,chest,chest,14976,56,26,10,5,9.2,NA,3.32,0.862599061,0
part of the body,ears,ear,13342,47,7,8,15,11.86666667,NA,3.23,0.831257439,0
part of the body,elbow,elbow,15102,71,6,10,4,7,NA,2.5,0.832298076,2.089868179
part of the body,elbows,elbow,14396,68,13,9,5,12.6,NA,2.1,0.832298076,0
part of the body,eye,eye,15537,56,26,11,2,8.5,NA,3.76,0.727049947,0
part of the body,eyes,eyes,16229,35,10,13,12,10.33333333,NA,4.05,0.722169739,0
part of the body,face,face,5244,38,4,3,3,8,NA,4.17,0.819826085,0
part of the body,feet,foot,7449,44,9,4,12,10.16666667,NA,3.79,0.753497203,0
part of the body,finger,finger,2880,32,37,2,4,4.75,NA,3.27,0.818897167,0
part of the body,fingers,finger,17138,56,26,17,12,6.25,3,3.23,0.818897167,0
part of the body,foot,foot,14682,23,35,10,3,10,NA,3.52,0.753497203,0
part of the body,hair,hair,16683,20,4,15,7,12.28571429,NA,3.89,0.910081133,0
part of the body,hand,hand,768,38,4,1,7,2.714285714,4,4.15,0.824538584,0
part of the body,hands,hand,10550,29,13,6,9,5.222222222,1,4.08,0.824538584,0
part of the body,head,head,12032,32,37,7,16,5.875,3,4.28,0.853361721,0
part of the body,heart,heart,17308,23,35,19,6,15.33333333,NA,4.1,0.749782851,0
part of the body,hip,hip,8746,23,35,5,4,12.25,NA,2.9,0.914352593,0
part of the body,hips,hip,16605,62,28,14,3,11.33333333,NA,2.49,0.914352593,0
part of the body,intestines,intestines,15930,47,7,12,2,16.5,NA,1.94,0.722184259,4.841678626
part of the body,knee,knee,13936,23,35,9,3,12,NA,2.88,0.787826865,0.180041438
part of the body,knees,knee,16856,74,39,15,9,11.33333333,NA,3.12,0.787826865,0
part of the body,leg,leg,1656,62,28,1,11,3.545454545,1,3.46,0.803719004,0
part of the body,legs,leg,11051,53,36,6,8,8.5,NA,3.45,0.803719004,0
part of the body,liver,liver,17387,23,35,20,2,22,NA,2.86,0.733050094,1.081100503
part of the body,lungs,lung,14051,32,37,9,6,15.33333333,NA,2.73,0.646963364,0.43760726
part of the body,mouth,mouth,9334,47,7,5,17,11.64705882,NA,3.73,0.717467327,0
part of the body,neck,neck,2541,23,35,2,8,10.75,NA,3.48,0.858527051,0
part of the body,nose,nose,15678,77,6,11,15,10.6,1,3.55,0.867547705,0.551700712
part of the body,organs,organ,10497,26,32,6,2,14.5,NA,2.48,0.938234783,2.49116087
part of the body,pelvis,pelvis,17204,23,35,18,2,14.5,NA,2.02,0.854385417,4.026567126
part of the body,ribs,rib,12553,65,7,7,2,13.5,NA,2.63,0.803809457,0
part of the body,shoulder,shoulder,16656,77,6,14,5,9,NA,3.13,0.882251553,0
part of the body,shoulders,shoulder,15137,74,39,10,8,7.75,NA,2.78,0.882251553,0
part of the body,skeleton,skeleton,16968,47,7,16,2,18.5,NA,2.42,0.968322199,4.250724496
part of the body,skin,skin,17130,53,36,17,3,19.33333333,NA,3.35,0.962742622,0
part of the body,spine,spine,17577,65,7,23,3,20.66666667,NA,2.47,0.831412846,5.169083383
part of the body,stomach,stomach,9722,62,28,5,6,11.16666667,NA,3.24,0.640352782,0.600792438
part of the body,teeth,teeth,13862,20,4,9,4,13.25,NA,3.39,0.795654571,0
part of the body,thigh,thigh,15060,68,13,10,3,10.66666667,NA,2.28,0.752064571,4.173408341
part of the body,thighs,thigh,6015,62,28,3,4,10,NA,2.29,0.752064571,0
part of the body,toe,toe,15292,23,35,11,3,6.333333333,NA,2.81,0.760840471,0
part of the body,toes,toe,9265,44,9,5,10,9.2,NA,2.81,0.760840471,0
part of the body,tongue,tongue,12263,47,7,7,3,10,NA,3.2,0.703384999,0
part of the body,torso,torso,12771,77,6,7,9,7.555555556,NA,1.98,0.785406722,3.892080679
part of the body,waist,waist,16343,62,28,13,2,11,NA,2.42,0.840892645,1.09575254
part of the face,beard,beard,17075,24,35,17,3,12.33333333,NA,2.81,0.954726825,0
part of the face,cheek,cheek,6761,21,13,4,3,6.666666667,NA,2.56,0.98665991,0
part of the face,cheekbones,cheekbone,17399,36,9,20,4,11,NA,1.51,0.972555868,0
part of the face,cheeks,cheek,8012,63,20,4,13,5.307692308,1,2.35,0.98665991,0.413968942
part of the face,chin,chin,11771,21,13,7,15,7.266666667,1,2.81,0.926745337,0
part of the face,ears,ear,1572,60,22,1,16,6.375,1,3.23,0.905429438,0
part of the face,eyebrows,eyebrow,6340,72,32,3,17,6.176470588,NA,2.23,0.947849524,0
part of the face,eyelash,eyelash,15307,24,35,11,2,9,NA,1.65,0.958786273,0
part of the face,eyelashes,eyelash,14843,39,16,10,11,8.909090909,NA,1.8,0.958786273,0
part of the face,eyelid,eyelid,14417,69,27,9,3,8.666666667,NA,1.26,0.940082098,0
part of the face,eyelids,eyelid,14946,54,7,10,3,10.66666667,NA,1.92,0.940082098,0
part of the face,eyes,eyes,11002,51,24,6,20,2.9,5,4.05,0.896102486,0
part of the face,forehead,forehead,15511,54,7,11,15,5.866666667,NA,2.6,0.95443975,0.874366709
part of the face,hair,hair,2000,72,32,1,4,7.5,1,3.89,0.938453948,0
part of the face,hairline,hairline,16835,69,27,15,3,16.66666667,NA,1.799,0.927966566,0
part of the face,jaw,jaw,7637,51,24,4,5,10.8,NA,2.56,0.870603754,1.617276011
part of the face,lips,lip,12245,45,26,7,14,6.214285714,NA,3.2,0.832096873,0
part of the face,moustache,moustache,14739,27,39,10,2,14,NA,2.29,0.9784211,0
part of the face,mouth,mouth,5177,36,9,3,16,5.875,NA,3.73,0.76116443,0
part of the face,neck,neck,16393,72,32,13,3,9.666666667,NA,3.48,0.952743818,0
part of the face,nose,nose,2175,78,15,1,21,2.523809524,9,3.55,0.917262107,2.600721784
part of the face,nostrils,nostril,16580,54,7,14,2,10,NA,1.92,0.927518764,0
part of the face,pupils,pupil,16727,27,39,15,2,14,NA,2.27,0.954743808,0.126717066
part of the face,skin,skin,10581,30,24,6,3,2.666666667,2,3.35,0.863649126,0
part of the face,teeth,teeth,12365,54,7,7,7,8.714285714,NA,3.39,0.861273945,0
part of the face,tongue,tongue,14991,60,22,10,3,8.333333333,NA,3.2,0.751698784,0
personal quality,academic,academic,8816,25,34,5,2,8,NA,2.38,0.82318402,2.28953415
personal quality,annoying,annoying,11306,67,2,6,2,9.5,NA,2.75,0.875676353,0
personal quality,brave,brave,2260,80,22,1,2,1,2,3.21,0.899797834,0
personal quality,bubbly,bubbly,10162,79,27,5,3,4.333333333,NA,1.85,0.941869418,0
personal quality,caring,caring,16170,22,37,13,3,6.333333333,NA,2.56,0.944829447,0
personal quality,cold,cold,16701,22,37,15,2,11,NA,3.82,0.847243926,0
personal quality,confidence,confidence,953,43,39,1,2,1,2,2.997,0.895730764,0
personal quality,confident,confident,4844,25,34,3,4,3.5,1,2.74,0.888162303,0
personal quality,friendliness,friendliness,1159,49,24,1,3,1,3,0.85,0.881315689,0
personal quality,friendly,friendly,9559,55,39,5,5,3,NA,3.12,0.872198227,0
personal quality,funny,funny,12129,37,39,7,3,5.333333333,1,4.05,0.891981006,0
personal quality,generous,generous,7361,40,15,4,3,3.666666667,NA,2.93,0.941557167,0
personal quality,happiness,happiness,6999,28,8,4,2,3,NA,3.1,0.954124053,0
personal quality,happy,happy,1063,46,35,1,3,2,2,4.23,0.919202531,0
personal quality,hardworking,hardworking,6708,19,36,4,3,3.666666667,NA,1.89,0.856378149,0
personal quality,honest,honest,3035,37,39,2,2,3,NA,3.57,0.848696847,0
personal quality,intelligence,intelligence,8983,31,37,5,2,3.5,NA,2.99,0.837895883,0
personal quality,intelligent,intelligent,4488,80,22,2,4,6.75,NA,2.84,0.832979814,0
personal quality,kind,kind,15774,22,37,12,3,5.333333333,1,4.48,0.903066911,0.331292212
personal quality,kindness,kindness,12220,43,39,7,3,4.666666667,NA,2.66,0.926571348,0.850407193
personal quality,lazy,lazy,11727,19,36,7,2,7,NA,2.77,0.842570706,0
personal quality,mean,mean,13810,80,22,8,3,5.333333333,NA,4.8,0.883225044,0.056711538
personal quality,nice,nice,856,40,15,1,3,2,1,4.52,0.924131412,0
personal quality,optimistic,optimistic,13393,52,10,8,2,7,NA,2.24,0.888232782,0
personal quality,positive,positive,9438,52,10,5,2,3,1,3.21,0.883728305,0
personal quality,quiet,quiet,12831,79,27,7,3,9.666666667,NA,3.78,0.714927738,0
personal quality,selfish,selfish,12769,76,38,7,2,4,1,2.91,0.885163701,0
personal quality,selfless,selfless,3506,52,10,2,2,3.5,NA,1.97,0.860305896,0
personal quality,shy,shy,13857,19,36,9,5,7.4,1,2.97,0.877258479,0
personal quality,standoffish,standoffish,16124,80,22,12,2,7.5,NA,1.08,0.865778941,0
personal quality,understanding,understanding,11409,70,31,6,2,4,NA,3.05,0.842120759,0
personal quality,warm,warm,11117,55,39,6,2,4.5,NA,3.42,0.83322456,0
political system,communism,communism,6044,63,19,3,6,3.166666667,2,2.03,0.978982114,4.857454586
political system,conservative,conservative,3814,60,26,2,3,2.333333333,NA,2.29,0.962516512,0
political system,democracy,democracy,2070,75,24,1,9,2,5,2.53,0.978424035,5.921064841
political system,democrat,democrat,5940,60,26,3,2,2,1,1.94,0.93650606,0
political system,dictatorship,dictatorship,3921,63,19,2,8,2.875,NA,1.68,0.973107739,3.356783935
political system,monarchy,monarchy,7146,33,1,4,3,3.666666667,NA,1.54,0.962357498,4.689508303
political system,socialism,socialism,10138,78,36,5,2,4.5,NA,1.48,0.860845502,1.119077923
positive emotion,calm,calm,3869,62,4,2,3,5.666666667,NA,3.66,0.965477481,0
positive emotion,cheerful,cheerful,2870,32,24,2,6,3.333333333,NA,2.28,0.959510171,0
positive emotion,confident,confident,14527,77,25,9,2,9.5,NA,2.74,0.973685794,0
positive emotion,content,content,8633,20,19,5,2,3.5,NA,2.59,0.951934243,0
positive emotion,ecstatic,ecstatic,8296,74,20,4,4,4,NA,1.845,0.979028408,0
positive emotion,enthusiastic,enthusiastic,9927,71,1,5,3,4.333333333,NA,2.16,0.979372955,0
positive emotion,excited,excited,4255,74,20,2,7,2.857142857,NA,3.39,0.980120845,1.554981309
positive emotion,excitement,excitement,4055,68,12,2,2,2,NA,2.8,0.972074902,0
positive emotion,friendly,friendly,3552,53,18,2,2,2.5,NA,3.12,0.93282497,0
positive emotion,happiness,happiness,1825,68,12,1,6,1,6,3.1,0.982333867,2.601044992
positive emotion,happy,happy,497,29,34,1,14,1,14,4.23,0.986971996,0
positive emotion,joy,joy,6173,68,12,3,3,3,NA,3.16,0.98549095,0
positive emotion,joyful,joyful,5419,44,7,3,7,4,NA,1.89,0.991881536,0
positive emotion,laughing,laughing,9044,35,20,5,3,3.666666667,NA,3.43,0.932658036,0
positive emotion,overjoyed,overjoyed,5085,32,24,3,2,3.5,NA,1.58,0.992721798,0
positive emotion,relieved,relieved,11746,20,19,7,2,7.5,NA,2.72,0.983951838,0
positive emotion,smiling,smiling,5151,35,20,3,2,4,NA,2.94,0.759911004,6.561640909
positive personal quality,approachable,approachable,2804,30,31,2,2,3,NA,0.7,0.894090081,0
positive personal quality,caring,caring,13292,42,32,8,5,4,NA,2.56,0.967942925,0
positive personal quality,cheerful,cheerful,1457,57,17,1,2,2,1,2.28,0.948139277,0
positive personal quality,confident,confident,16517,36,13,14,3,7.333333333,NA,2.74,0.942284791,0
positive personal quality,dedication,dedication,3588,54,17,2,2,2.5,NA,2.24,0.934149806,0
positive personal quality,determined,determined,15069,69,8,10,2,9.5,NA,2.83,0.91744989,0
positive personal quality,friendliness,friendliness,10346,21,31,6,3,4.666666667,NA,0.85,0.916224729,0
positive personal quality,friendly,friendly,3701,57,17,2,3,2,1,3.12,0.906994516,0
positive personal quality,funny,funny,13715,75,36,8,2,7.5,NA,4.05,0.928844215,0
positive personal quality,generous,generous,16239,36,13,13,3,9.333333333,NA,2.93,0.964593422,0
positive personal quality,happiness,happiness,3371,48,10,2,2,1.5,1,3.1,0.98355568,0
positive personal quality,happy,happy,4208,72,11,2,4,2.25,1,4.23,0.96333646,0
positive personal quality,hardworking,hardworking,15389,36,13,11,2,11,NA,1.89,0.840125231,0
positive personal quality,helpful,helpful,622,33,11,1,3,4,1,2.79,0.904587168,0
positive personal quality,honest,honest,15910,42,32,12,3,8,NA,3.57,0.910676595,0
positive personal quality,honesty,honesty,9226,42,32,5,3,2.333333333,2,2.57,0.910961221,0
positive personal quality,humility,humility,5373,42,32,3,2,2.5,NA,2.09,0.937693259,0
positive personal quality,humour,humor,12791,78,3,7,2,4.5,NA,2.43,0.893767867,0
positive personal quality,independent,independent,2672,27,11,2,2,3,NA,2.68,0.910934796,0
positive personal quality,kind,kind,13268,39,37,8,8,4.875,2,4.48,0.947272816,0.091165552
positive personal quality,kindness,kindness,4090,69,8,2,3,2.666666667,1,2.66,0.943998214,0
positive personal quality,loving,loving,2973,36,13,2,4,7.5,NA,3.11,0.951337817,0
positive personal quality,loyal,loyal,10438,24,27,6,2,6,NA,2.79,0.925359295,0
positive personal quality,motivated,motivation,9667,60,39,5,2,7,NA,2.2,0.931222731,5.388541982
positive personal quality,optimistic,optimistic,9866,69,8,5,2,3,1,2.24,0.944091526,0
positive personal quality,outgoing,outgoing,5106,33,11,3,2,2,1,1.96,0.90141601,0
positive personal quality,patient,patient,10692,36,13,6,2,6.5,NA,3.51,0.926913678,0
positive personal quality,polite,polite,7155,33,11,4,2,4,NA,2.85,0.867651451,0
positive personal quality,reliable,reliable,12610,69,8,7,2,7,NA,2.48,0.935387631,0
positive personal quality,thoughtful,thoughtful,5181,36,13,3,2,4,NA,2.6,0.910450225,0
positive personal quality,trustworthy,trustworthy,3109,39,37,2,3,5.333333333,NA,1.98,0.83006225,0
prime number,eleven,eleven,7023,28,36,4,16,5.0625,NA,2.82,0.941874505,0
prime number,five,five,3017,37,20,2,15,2.933333333,NA,4.16,0.969151392,0
prime number,nine,nine,8462,79,8,4,4,4.75,NA,3.54,0.981902506,0
prime number,nineteen,nineteen,13585,67,25,8,12,8.25,NA,2.23,0.93021805,0
prime number,one,one,862,40,21,1,11,1.818181818,9,5.2,0.988520185,0
prime number,seven,seven,8966,31,17,5,17,3.764705882,NA,3.73,0.918072472,0
prime number,seventeen,seventeen,13818,80,34,8,15,6.733333333,NA,2.47,0.965925201,0
prime number,thirteen,thirteen,8900,28,36,5,13,6.230769231,NA,2.43,0.885351717,0
prime number,three,three,3132,40,21,2,18,1.888888889,5,4.44,0.976032209,0
prime number,two,two,1151,49,16,1,9,1.333333333,6,4.74,0.934280113,0
profession,actor,actor,12943,20,35,8,2,10,NA,3.13,0.934493985,1.638581173
profession,actress,actress,13246,38,25,8,2,9.5,NA,2.91,0.964763866,2.52384036
profession,baker,baker,17165,71,19,17,2,9.5,NA,2.84,0.845108643,1.758712586
profession,bar staff,bartender,10491,26,17,6,2,7,NA,3.777206967,0.957672031,1.259301529
profession,bartender,bartender,16329,56,34,13,2,14.5,NA,2.7,0.957672031,0
profession,builder,builder,17346,56,34,19,4,12.5,NA,1.69,0.908118638,1.092846535
profession,bus driver,bus driver,17478,47,6,21,3,13.66666667,NA,3.792442603,0.836839145,0
profession,businessman,businessman,13341,47,6,8,2,6,NA,2.61,0.859222698,2.58908912
profession,carpenter,carpenter,15684,77,28,11,2,7,NA,2.49,0.859718311,4.745208321
profession,cashier,cashier,16452,20,35,14,2,14.5,NA,2.23,0.924420888,6.023013863
profession,chef,chef,16289,47,6,13,6,11.66666667,NA,2.78,0.930315622,2.120330013
profession,cleaner,cleaner,16692,20,35,15,2,15,NA,2.55,0.758038198,2.305956879
profession,dancer,dancer,11758,20,35,7,2,8.5,NA,2.92,0.872567123,2.708055323
profession,dentist,dentist,17034,77,28,16,2,11.5,NA,2.76,0.846792481,3.219388443
profession,doctor,doctor,593,32,17,1,16,2.3125,7,4.13,0.965371285,1.026344703
profession,driver,driver,12439,56,34,7,2,8,NA,3.38,0.913681859,0
profession,engineer,engineer,15422,38,25,11,2,7.5,NA,2.78,0.892421411,1.963425067
profession,fireman,fireman,11166,59,13,6,3,9,NA,2.18,0.907984667,4.145387862
profession,hairdresser,hairdresser,14592,17,14,10,2,7,NA,2.1,0.83313076,4.541627766
profession,lawyer,lawyer,6190,68,29,3,9,3.222222222,2,3.61,0.890426608,4.452609458
profession,lecturer,lecturer,14065,35,18,9,9,8.111111111,NA,1.62,0.89258159,0
profession,librarian,librarian,16380,71,19,13,2,9,NA,2.17,0.96592953,0
profession,manager,manager,14784,35,18,10,6,8.5,NA,3.31,0.938864709,0
profession,nurse,nurse,5895,59,13,3,13,5.076923077,NA,3.36,0.973076,2.761428674
profession,plumber,plumber,17244,47,6,18,2,15,NA,2.36,0.830761886,0
profession,police officer,police officer,11235,62,14,6,3,6.333333333,NA,4.352065336,0.951932503,0.87357836
profession,policeman,policeman,9797,65,27,5,4,8.75,NA,2.78,0.805678253,0
profession,politician,politician,6745,20,35,4,2,4,NA,2.23,0.900642187,3.092751518
profession,professor,professor,14639,20,35,10,4,6.75,NA,3.55,0.876891226,1.735607437
profession,psychologist,psychologist,13661,71,19,8,6,6.333333333,NA,2.26,0.932218415,0
profession,receptionist,receptionist,16636,71,19,14,3,14,NA,1.99,0.95833121,0
profession,scientist,scientist,8721,23,7,5,2,5,NA,2.79,0.894712897,0
profession,secretary,secretary,16845,71,19,15,3,12.66666667,NA,3.23,0.92588624,0.619223246
profession,shop assistant,salesclerk,14020,29,23,9,3,11.33333333,NA,3.644814186,0.947000057,0
profession,singer,singer,10317,20,35,6,2,7.5,NA,2.9,0.896666598,1.873511579
profession,soldier,soldier,5830,56,34,3,2,3.5,NA,3.3,0.945915536,2.795045203
profession,solicitor,solicitor,9472,53,8,5,2,4.5,NA,1.66,0.913809935,4.887882543
profession,teacher,teacher,486,29,23,1,16,2.1875,6,3.45,0.907227432,2.743715621
profession,technician,technician,15167,77,28,10,2,10,NA,2.12,0.966343522,0
profession,waiter,waiter,17001,65,27,16,5,12.6,NA,2.83,0.960439739,0
profession,waitress,waitress,16784,47,6,15,6,11.83333333,NA,2.77,0.936066939,0
profession,writer,writer,8648,20,35,5,2,5.5,NA,3.08,0.880417728,2.650699465
psychological illness,anorexia,anorexia,5155,35,24,3,6,5.166666667,NA,1.15,0.911557044,0
psychological illness,anxiety,anxiety,2538,23,32,2,7,3,NA,2.54,0.970539665,23.80778347
psychological illness,autism,autism,9958,71,38,5,4,3.5,NA,1.57,0.860104549,0
psychological illness,depression,depression,492,29,29,1,15,1.4,11,2.61,0.919961238,28.16360611
psychological illness,psychosis,psychosis,2651,26,28,2,2,4.5,NA,1.84,0.933510767,0
psychological illness,schizophrenia,schizophrenia,6713,20,2,4,17,3,2,1.85,0.907285094,0
racket sport,badminton,badminton,5274,38,37,3,19,1.842105263,5,1.3,0.89140657,42.05630776
racket sport,lacrosse,lacrosse,10391,23,11,6,4,4.25,NA,1.73,0.965571888,0
racket sport,squash,squash,5904,59,23,3,13,2.692307692,1,2.35,0.735970539,15.26433662
racket sport,table tennis,table tennis,7694,53,11,4,4,4.25,NA,3.782626602,0.966582123,36.37201231
racket sport,tennis,tennis,2425,20,32,2,20,1.3,14,2.84,0.9434805,36.37201231
reading material,article,article,3776,59,27,2,10,3.4,NA,3,0.945905075,9.582860416
reading material,book,book,1942,71,12,1,16,1.125,15,3.96,0.977197115,0.0442073
reading material,books,book,387,26,38,1,3,1,3,3.54,0.977197115,3.891835239
reading material,diary,diary,7983,62,29,4,3,8,NA,2.66,0.903106548,0.071804016
reading material,flyer,flyer,11424,71,12,6,2,7,NA,2.24,0.97033728,0
reading material,journal,journal,2308,17,31,2,7,3.142857143,1,2.66,0.956362955,6.945458891
reading material,journal article,journal,13656,71,12,8,2,5.5,NA,3.163485838,0.956362955,16.52831931
reading material,journal articles,journal,10304,20,21,6,2,5,NA,3.163485838,0.956362955,23.26881359
reading material,journals,journal,2661,26,38,2,3,5,NA,1.96,0.956362955,18.63002665
reading material,leaflets,leaflet,12934,20,21,8,2,7.5,NA,1.15,0.958773294,0
reading material,magazine,magazine,4640,20,21,3,11,3.818181818,NA,3.23,0.939559224,6.78419745
reading material,magazines,magazine,4045,68,2,2,3,3.333333333,NA,2.72,0.939559224,6.359599233
reading material,newspaper,newspaper,3560,53,27,2,11,3.818181818,NA,3.08,0.945363935,3.912029252
reading material,newspapers,newspaper,10500,26,38,6,3,4,NA,2.77,0.945363935,1.308808843
reading material,novel,novel,13179,35,3,8,3,7.666666667,NA,2.71,0.947097427,0
reading material,pamphlet,pamphlet,9936,71,12,5,3,5.333333333,NA,1.79,0.942764284,0
reading material,pamphlets,pamphlet,12707,74,5,7,2,8.5,NA,1.63,0.942764284,0
reading material,posters,poster,13874,20,21,9,2,8.5,NA,2.19,0.943447603,0.237673265
reading material,script,script,9347,47,27,5,3,4.666666667,NA,3,0.960872419,12.26378169
reading material,textbook,textbook,11844,23,39,7,3,6.666666667,NA,2.05,0.93009415,0
reading material,transcript,transcript,7549,47,27,4,2,3,NA,2.85,0.927380162,0
religion,atheism,atheism,13192,36,2,8,4,7.25,NA,0.78,0.931037978,8.958211431
religion,buddhism,buddhism,7477,45,12,4,15,4.133333333,NA,1.53,0.973596678,8.676837435
religion,buddhist,buddhist,7902,60,16,4,2,4,NA,2.09,0.902254139,4.961804696
religion,catholic,catholic,893,42,15,1,2,4,1,2.8,0.987428728,4.90841546
religion,catholicism,catholicism,14410,69,13,9,3,4.333333333,NA,1.38,0.984018678,7.149831504
religion,christian,christianity,5357,42,15,3,2,2.5,NA,2.91,0.990004814,5.013614614
religion,christianity,christianity,4202,72,5,2,18,1.166666667,15,1.76,0.990004814,7.371593514
religion,hindu,hindu,9213,42,15,5,2,4,NA,1.72,0.97636409,7.449391785
